"ssn","bank_name","IBAN","account_id"
"85174667471","ملت","IR139069489051135791589195","9765415"
"85174667471","ملت","IR576729305553535134582218","5505202"
"71728616858","ملت","IR197832917339470481711631","7314376"
"71728616858","ملی","IR872094759968662398764198","4206080"
"71728616858","صادرات","IR301758183571341686203740","1594427"
"71728616858","ملت","IR588103153904238991574784","2114321"
"22008439661","سرمایه","IR554544246931574915767610","8459020"
"22008439661","ملی","IR685939956080030675196293","3338420"
"22008439661","ملی","IR955302567510639024121706","2043079"
"11709824623","ملی","IR904386339625821492679759","9664011"
"11709824623","سرمایه","IR626862468985004730629698","3105396"
"11709824623","ملت","IR526088897739734820260139","3601381"
"11709824623","تجارت","IR413141891818713697108198","7379313"
"60942000673","صادرات","IR277955923379012451976590","5534309"
"60942000673","ملت","IR342494577687866820779600","6730561"
"99718688843","صادرات","IR567585190817172044539796","1465548"
"99718688843","تجارت","IR302318131806072207252889","9702014"
"99718688843","سرمایه","IR510045026448980450227427","4491524"
"50922442525","ملت","IR991611970895051291092517","4334109"
"50922442525","صادرات","IR958679967753792455792296","9123849"
"50922442525","سرمایه","IR416195205864632880387462","6161229"
"50922442525","سرمایه","IR892076578137961596760271","8309202"
"70429226137","ملت","IR942114729939851006190821","4068995"
"70429226137","ملت","IR403263670796385178405563","8755183"
"52535456818","صادرات","IR754652322659318792454785","1572162"
"52535456818","صادرات","IR255478901091937118377590","9646666"
"95302150527","تجارت","IR582346961922658904673435","7892654"
"95302150527","تجارت","IR602790441588285999080537","8119849"
"95302150527","سرمایه","IR963561317825796539569509","3524222"
"95302150527","ملت","IR108706778246110346353934","2839270"
"99136957160","ملت","IR325015938026863416200724","7669244"
"40723364952","سرمایه","IR483870638643451357217775","9405494"
"52907839432","تجارت","IR792214261122373593953195","7024370"
"52907839432","ملت","IR851426207048623416787721","7875779"
"81404745573","ملت","IR656571023784703168785284","2664976"
"81404745573","صادرات","IR211779602699227585235249","4047834"
"12682893911","سرمایه","IR547126743269754511215005","9402820"
"12682893911","سرمایه","IR122134400720536928404405","7781512"
"12682893911","ملت","IR278270404147975386214345","3672962"
"12682893911","ملی","IR142377007235251546726206","5446726"
"56334209565","ملت","IR346253967602236595956438","6302119"
"56334209565","ملی","IR352101978064443609167182","1487291"
"56334209565","تجارت","IR846518850619987032346151","5418441"
"56334209565","سرمایه","IR404025158844952999491784","2487124"
"99041002249","تجارت","IR185058278479944659692719","4810296"
"99041002249","صادرات","IR224056808720753054427403","9748046"
"99041002249","ملت","IR891754473323242805223262","7317104"
"93938692466","ملت","IR463293724554580777187375","1047662"
"93938692466","ملت","IR147475806519035241189498","1756592"
"93938692466","تجارت","IR436107137858140903349587","5633143"
"15540060124","صادرات","IR308492613912056023285109","8039804"
"95034682464","سرمایه","IR754342075209452502017629","5989072"
"65128719265","ملت","IR698239010047437652951458","5951234"
"28748546453","تجارت","IR261482720231640909375427","4324475"
"28748546453","ملی","IR414040268782863121991283","5712228"
"28748546453","سرمایه","IR553875844154916495696790","8220461"
"28748546453","تجارت","IR981421191053868023621244","9173993"
"87661964271","صادرات","IR379685566743715034808605","4278401"
"19431889346","صادرات","IR492337480964784263229137","1801630"
"58188684954","صادرات","IR566315005300103983573791","5820188"
"58188684954","تجارت","IR775269940657550523278440","3534296"
"58188684954","تجارت","IR817284154462662901844813","4674931"
"58188684954","صادرات","IR119087333286033450407210","1277872"
"96431094805","تجارت","IR643884519304059480992438","1779058"
"49765395858","تجارت","IR746854250033415486437985","5521052"
"59094472140","تجارت","IR745067212726311634648592","8559920"
"59094472140","سرمایه","IR145189635344493989969923","4606703"
"74996878578","سرمایه","IR597956173079940218224287","3627949"
"74996878578","ملت","IR923501817130268442993486","6922492"
"74996878578","ملت","IR162185221161774995251127","8126360"
"74996878578","سرمایه","IR434213514981835965489703","2514805"
"66029133362","سرمایه","IR305220616908084995176521","9935958"
"66029133362","ملی","IR442071802911724245748850","1248745"
"66029133362","ملی","IR373262390281850344212480","2330357"
"66029133362","تجارت","IR276463461396192010701677","4202514"
"84270759875","سرمایه","IR629354708632729581687247","5104088"
"84270759875","تجارت","IR981551866712503901056620","2543253"
"84270759875","صادرات","IR193591354400481143980947","7130064"
"33810183405","سرمایه","IR717291202333863077360976","4679639"
"33810183405","تجارت","IR252990153621249492165493","3433238"
"35835655831","ملت","IR489404937456698138889276","1655787"
"35835655831","صادرات","IR780552547024492704837320","2080262"
"35835655831","صادرات","IR359757302689128001799829","1488335"
"35835655831","تجارت","IR114196163868626232412357","7493837"
"73751956412","سرمایه","IR279442559020755787819755","9104256"
"73751956412","صادرات","IR213941042882842251279512","2354562"
"17508200834","صادرات","IR785123162389995256415739","1819656"
"17508200834","صادرات","IR910138470342750893415916","5609148"
"17508200834","ملت","IR791675632034515049091586","8502618"
"17508200834","ملی","IR941456224769860453356624","3943494"
"28757173899","ملی","IR162607120494717314934889","5920315"
"28757173899","سرمایه","IR645125547013042340383295","6398412"
"28757173899","صادرات","IR242683424363216062420180","8778829"
"28757173899","ملت","IR489448693218970833491801","4469817"
"44268300129","صادرات","IR140837909346429846782693","5849715"
"87562428171","سرمایه","IR304096030783937238649921","1572777"
"87562428171","تجارت","IR525472409329108651708462","4384299"
"89027662550","صادرات","IR144653752242423765753659","9128443"
"25810071638","سرمایه","IR403854322004588482955259","3382825"
"25810071638","ملی","IR810269249615915286956463","4162666"
"23906993890","صادرات","IR829908074447780330342299","7900059"
"23906993890","ملت","IR140214761945311259922044","6441963"
"23906993890","ملی","IR853301242278424911442370","1038397"
"61543279601","صادرات","IR355407167690678031335856","9664953"
"13266183439","ملت","IR754758338608071228042774","7955795"
"13266183439","سرمایه","IR528319586145581466103117","2441602"
"13266183439","سرمایه","IR811560654600789752080467","6105146"
"15508335851","سرمایه","IR953935657786189620428644","9017304"
"15508335851","ملی","IR326715244594771695990835","4353764"
"15508335851","ملی","IR573459338489113895885473","5171696"
"15508335851","ملت","IR993423400702721702237109","8196616"
"91280321292","سرمایه","IR646987633866518666939305","8147056"
"91280321292","ملت","IR831682334896185818593727","5196469"
"91280321292","سرمایه","IR671409282371004045350824","1404118"
"82092168884","ملی","IR493784557279807132686011","5973033"
"82092168884","ملت","IR744138457784929350176355","4713619"
"82092168884","ملت","IR384330365747161661376499","4263249"
"11111848538","صادرات","IR138703967297204334226112","7581733"
"11111848538","سرمایه","IR225919748739384769608402","8791996"
"11111848538","تجارت","IR456570117955262349594199","2184437"
"11111848538","سرمایه","IR934385884749019489764792","6966440"
"99033228936","ملت","IR335428984912385116372079","9834183"
"99033228936","سرمایه","IR623158705342525156738327","8400770"
"99033228936","سرمایه","IR981724866679157921729626","6120366"
"99033228936","سرمایه","IR364378222470143319385116","7305288"
"51727838676","ملی","IR879642334714508733505999","2878276"
"51727838676","ملی","IR140411477300033484175973","5883868"
"51727838676","سرمایه","IR473082505331525735374479","8474310"
"26338283508","سرمایه","IR396169794352389813046229","7544605"
"26338283508","تجارت","IR841963156271919994111721","9357874"
"82090289585","ملت","IR487718934626002886275970","3781559"
"11033113607","ملی","IR497092210456034242878252","4692937"
"28885218019","ملت","IR891369660921664109504769","6853679"
"48746885739","صادرات","IR443711161224894729458754","4776011"
"48746885739","ملی","IR247711765714817423529282","2584078"
"48746885739","سرمایه","IR819266341413309506512900","6912148"
"48746885739","تجارت","IR761968134125195341302535","8045552"
"87146852196","صادرات","IR526157871628224475185029","1238877"
"87146852196","صادرات","IR514308758014743488961612","9212460"
"87146852196","سرمایه","IR707231085877140598960934","1961240"
"24814664649","ملت","IR786760126292219863618514","9698711"
"98566029662","ملت","IR198107868170176919938176","1924277"
"98566029662","سرمایه","IR125656169746706908755322","8617143"
"78982948954","سرمایه","IR610403275443789946957319","1870441"
"78982948954","ملت","IR148226732032156602097814","4193869"
"78982948954","سرمایه","IR655038569264132208085645","3412456"
"78982948954","صادرات","IR423984336918413187808650","9354613"
"11064312604","سرمایه","IR195167115847364209269919","9781420"
"11064312604","تجارت","IR188612036201941989330367","8044177"
"11064312604","صادرات","IR860053756145592020142945","3131581"
"13204439139","ملت","IR880088674311355257311562","2553592"
"43055880657","سرمایه","IR161961793127794249943968","2078938"
"43055880657","صادرات","IR194054034085684281968526","9073673"
"76401749944","ملت","IR614058560970695262494706","1482964"
"76401749944","ملت","IR642523687422030836667548","1006843"
