"from","to","call_id","date","duration"
"09631310920","09832687079","646592","2004-03-05T23:17:48","14:10"
"09692247263","09832687079","838177","2003-11-28T22:01:27","19:03"
"09832687079","09692247263","889415","2014-04-21T15:54:50","06:59"
"09692247263","09148677754","257087","2004-01-22T17:46:22","02:20"
"09810258706","09789272457","199217","1991-02-26T17:25:22","22:22"
"09148677754","09832353616","229928","2006-11-21T11:50:48","09:47"
"09692247263","09631310920","449327","1996-02-08T05:24:54","11:20"
"09692247263","09789272457","856355","2009-02-04T17:37:22","23:29"
"09631310920","09148677754","864363","2017-04-26T23:34:44","14:04"
"09789272457","09810258706","378626","1987-11-11T01:56:16","11:49"
"09832353616","09178862936","527546","1983-03-06T00:19:08","10:45"
"09673815468","09148677754","464367","1972-03-04T16:44:38","20:41"
"09148677754","09810258706","931725","2006-11-13T17:48:56","00:54"
"09832353616","09631310920","642530","2014-12-22T16:52:26","00:25"
"09631310920","09789272457","949785","1982-10-09T04:57:07","12:10"
"09673815468","09178862936","851905","1973-08-28T23:52:02","02:45"
"09832353616","09673815468","936899","1987-01-06T09:45:05","21:29"
"09789272457","09631310920","146097","2000-06-04T19:09:07","10:58"
"09692247263","09810258706","863212","1970-07-08T14:19:01","10:51"
"09692247263","09832353616","580427","2012-06-13T20:24:33","13:10"
"09148677754","09789272457","479593","1979-01-03T17:03:11","09:15"
"09692247263","09178862936","498842","2016-10-22T05:57:42","14:54"
"09810258706","09789272457","979847","1972-04-02T11:33:38","09:39"
"09810258706","09789272457","903400","1979-12-30T13:52:28","16:52"
"09178862936","09832353616","646809","1972-02-19T00:48:30","03:38"
"09692247263","09789272457","186107","2008-01-14T12:26:40","08:18"
"09178862936","09810258706","760742","1990-12-26T19:36:28","03:11"
"09178862936","09789272457","227312","2008-09-08T13:19:37","17:55"
"09832687079","09631310920","974489","2015-09-30T02:22:56","03:34"
"09178862936","09631310920","903276","1973-11-30T20:45:29","12:09"
"09789272457","09692247263","523928","1980-11-06T05:28:49","16:26"
"09832687079","09631310920","548584","1981-03-19T21:31:34","09:06"
"09789272457","09692247263","197662","2016-11-09T05:49:47","15:36"
"09673815468","09692247263","656328","2007-06-07T11:30:01","21:14"
"09810258706","09692247263","892108","1996-04-06T18:55:09","08:28"
"09631310920","09789272457","929585","1978-10-24T15:25:58","19:23"
"09673815468","09148677754","928466","2006-11-16T00:44:26","14:30"
"09178862936","09789272457","774845","2008-05-31T17:43:32","00:45"
"09148677754","09832687079","655818","2017-01-12T13:38:28","20:50"
"09832353616","09789272457","182253","1983-09-29T12:40:24","14:27"
"09810258706","09789272457","431594","1999-02-22T13:16:52","14:14"
"09178862936","09673815468","805636","2011-02-11T15:15:07","07:58"
"09673815468","09832353616","453157","2009-11-28T09:25:49","09:34"
"09631310920","09178862936","250968","2004-12-10T03:53:37","15:37"
"09832353616","09789272457","930404","1996-09-07T18:31:38","11:58"
"09178862936","09832353616","817969","1975-07-10T02:06:16","18:56"
"09631310920","09810258706","385899","2005-09-20T03:00:22","01:39"
"09789272457","09631310920","972540","2005-10-22T22:03:01","04:15"
"09692247263","09832353616","748405","2015-10-17T20:30:04","14:14"
"09832353616","09692247263","319725","2001-02-09T15:20:49","04:17"
"09148677754","09178862936","453175","2006-12-24T06:55:28","11:48"
"09178862936","09692247263","348311","1995-03-18T20:10:05","02:27"
"09810258706","09673815468","314931","2011-05-22T21:11:54","14:33"
"09148677754","09178862936","864074","1984-03-24T03:33:49","12:55"
"09789272457","09178862936","590670","2010-05-11T21:32:18","17:42"
"09789272457","09692247263","999425","2002-08-26T04:53:44","19:15"
"09178862936","09673815468","826456","1980-05-16T18:11:42","21:57"
"09789272457","09692247263","402805","1989-01-25T15:00:01","23:10"
"09832353616","09178862936","859099","1980-11-16T22:25:08","02:38"
"09789272457","09673815468","416277","1997-05-30T01:01:27","17:50"
"09631310920","09178862936","951880","1997-03-07T15:36:41","06:52"
"09148677754","09692247263","364860","2007-05-31T22:55:23","09:03"
"09692247263","09178862936","631542","2009-01-12T03:45:35","17:06"
"09178862936","09832687079","894977","1996-08-14T21:03:08","10:46"
"09148677754","09832353616","962394","1977-09-14T07:33:30","03:08"
"09673815468","09789272457","668212","1986-06-15T16:25:19","22:48"
"09631310920","09832687079","150252","1976-12-26T20:59:45","06:22"
"09148677754","09832353616","317793","2014-07-22T05:41:55","19:01"
"09673815468","09148677754","148596","1993-12-16T11:36:17","17:58"
"09178862936","09810258706","132855","2003-03-10T18:01:28","22:50"
"09673815468","09631310920","439635","1984-11-07T04:52:04","22:41"
"09832353616","09631310920","446943","2001-10-19T14:54:37","00:59"
"09810258706","09789272457","915589","1989-10-11T14:13:52","01:28"
"09810258706","09148677754","401044","1986-12-18T16:06:18","20:26"
"09673815468","09810258706","124911","2010-06-16T15:01:20","21:02"
"09789272457","09673815468","573531","1996-12-23T23:56:01","05:18"
"09832353616","09631310920","717158","1989-04-09T21:07:23","23:57"
"09148677754","09832353616","157624","2019-02-11T03:28:36","01:45"
"09789272457","09810258706","785783","2002-04-19T05:55:17","18:34"
"09631310920","09673815468","368828","1985-01-20T13:27:25","17:44"
"09692247263","09148677754","981471","2016-04-24T17:29:00","00:03"
"09673815468","09789272457","753771","1986-09-07T23:21:39","21:12"
"09832353616","09673815468","471620","1998-08-01T13:44:08","20:32"
"09631310920","09832687079","792201","1985-07-15T23:19:20","16:49"
"09178862936","09810258706","158248","1977-07-21T12:36:56","04:07"
"09789272457","09178862936","118378","1971-12-18T09:56:09","16:14"
"09673815468","09832353616","459300","2019-03-30T08:46:21","08:19"
"09673815468","09832687079","970750","1994-09-03T19:33:50","17:25"
"09673815468","09789272457","875552","1980-12-24T09:22:21","09:18"
"09148677754","09692247263","688714","1981-05-27T16:06:06","02:02"
"09832687079","09832353616","865599","2002-04-01T17:42:46","23:54"
"09692247263","09631310920","768760","1977-11-12T07:05:34","00:16"
"09673815468","09832353616","422190","2001-11-01T17:54:55","09:35"
"09631310920","09832687079","795131","1996-12-12T12:49:02","04:18"
"09673815468","09692247263","319720","1973-11-15T11:58:56","05:37"
"09810258706","09692247263","761140","1987-11-08T05:51:32","08:40"
"09789272457","09631310920","139840","2007-08-23T04:39:06","09:46"
"09832353616","09673815468","245163","2003-10-29T07:03:21","11:26"
"09810258706","09178862936","555728","1993-04-29T07:42:27","21:35"
"09631310920","09178862936","238738","2008-10-19T05:06:44","23:47"
