"plate","ssn","model","color"
"94و369","36113344103","دنا","blue"
"35ق977","36113344103","پراید","fuchsia"
"54ر325","89150172229","رانا","green"
"95ی633","89150172229","هیوندا","gray"
"66ج194","89150172229","رانا","white"
"82ق185","74290337457","دنا","lime"
"48ق305","74290337457","هیوندا","maroon"
"76ط540","74290337457","هیوندا","silver"
"81ر252","19344330691","هیوندا","fuchsia"
"64ب593","10344884400","هیوندا","maroon"
"32ب988","10344884400","رانا","blue"
"59ر052","58151532128","لامبورگینی","lime"
"39ق063","58151532128","پژو","white"
"13ر501","58151532128","تیوتا","teal"
"26ج912","70648186198","پراید","aqua"
"25ی396","45982843479","دنا","blue"
"63ی796","87435173794","پراید","navy"
"40ق161","29224659780","پژو","lime"
"45و101","42082385940","هیوندا","green"
"15ج388","42082385940","رانا","lime"
"81ی899","78973924990","دنا","aqua"
"28ی583","78973924990","لامبورگینی","gray"
"41ی209","78973924990","دنا","green"
"31و074","49019135443","پراید","navy"
"67س401","38753857608","رانا","teal"
"69ق322","51774760274","پراید","lime"
"52ر320","51774760274","دنا","blue"
"78ب669","51774760274","هیوندا","blue"
