"ssn","price","postal_code","size","address"
"24561913893","856110946","3548610298","189","7864 شاکری دره واحد 048, شمال دانيال, اصفهان 471483"
"40847879826","931693278","8978274099","284","33067 هلیا میدان, روستای هانيه, آذربایجان غربی 2843"
"46415712503","741569402","9019845110","162","27434 رضا زاده دره, جنوب یاسمین, چهارمحال و بختیاری 6568406475"
"54427892013","311514420","7122730929","281","32028 رسولی میدان, شهر اميرعباس, سمنان 4060"
"65926088415","879994337","4003569395","138","06489 جلالی چهار راه سوئیت 849, شهرستان ستايش, مرکزی 793135"
"65926088415","504465914","5140774244","101","10130 سعیدی کوه واحد 398, باغات آیلین, سمنان 6127"
"34246002770","900451183","1256363586","245","333 عزیزی جاده, شهر کوثر, خراسان 4549"
"34246002770","739798612","5131836667","168","729 رودگر بزرگ راه, جنوب پریا, کردستان 3956479529"
"97866383166","801309234","1126403741","129","882 آيلين خیابان واحد 553, شمال مهدي, زنجان 6460018968"
"97866383166","921308897","7561165406","103","88936 پرنيا بلوار, باغات یلدا, ایلام 5953"
"97014156127","479965502","8555301087","223","693 عسل جاده سوئیت 005, شرق عباس, خراسان 31306"
"97014156127","290253183","3837738297","193","661 هنری چهار راه سوئیت 693, شهرستان كیان, خراسان 2057"
"43504344170","462521584","4358702766","211","613 محجوب کوه, جنوب آيلين, لرستان 494"
"23318168825","740620502","2242537685","252","57520 مائده بزرگ راه, جنوب سبحان, کهگیلویه و بویراحمد 96477"
"23318168825","943367947","9777427017","262","0457 آرمین بزرگ راه واحد 891, باغات امیرمحمد, قزوین 21583"
"78116864520","107226060","3819378042","264","2258 رسولی کوه, باغات آریا, مرکزی 2338"
"78116864520","235783067","4531159366","267","83266 رسته بن بست سوئیت 077, شمال محمدجواد, خوزستان 8097515577"
"85886058793","920883336","8495487017","132","80787 زارع تقاطع سوئیت 443, شهر حلما, مرکزی 6513"
"85886058793","274904439","5213556644","105","683 محدثه تونل سوئیت 619, بندر حسین, اصفهان 1634620348"
"13869588301","408623290","8540456165","104","8946 آراد جاده واحد 484, غرب پارسا, چهارمحال و بختیاری 832"
"13869588301","316035619","9102668581","128","39606 حسین جاده, استان طاها, کرمان 243667"
"83686456464","877620306","7387797233","118","6759 آرتين جاده سوئیت 842, شهرستان الينا, کرمانشاه 497"
