"ssn","number","operator"
"15064942675","09543387954","همراه اول"
"71132266799","09437875117","همراه اول"
"53250682399","09334288113","همراه اول"
"39744387874","09969525333","همراه اول"
"13225000447","09533395472","رایتل"
"57588272977","09266346114","همراه اول"
"96091379045","09490268073","ایرانسل"
"38391933628","09968707808","رایتل"
"56625406117","09202068066","ایرانسل"
"13148421760","09376177246","همراه اول"
"97468666908","09156739455","رایتل"
"51197803916","09268100580","رایتل"
"28351407831","09136804234","ایرانسل"
"75702072730","09437807853","همراه اول"
"87416284108","09761281969","رایتل"
"34210183437","09396508273","همراه اول"
"25441661551","09570334162","ایرانسل"
"89275581375","09267701142","ایرانسل"
"29691118098","09711483260","رایتل"
"27282142544","09628179810","ایرانسل"
"91031058039","09654084438","ایرانسل"
"94845532150","09476196340","رایتل"
"77830033486","09707888925","همراه اول"
"94203056918","09498768444","ایرانسل"
"96599023085","09407285691","ایرانسل"
"80429153281","09968182782","همراه اول"
"21808942757","09336772463","رایتل"
"73255193127","09743150262","ایرانسل"
"43299603528","09972188364","همراه اول"
"81818240923","09401914863","همراه اول"
"96660722352","09309997032","همراه اول"
"88573848202","09260584185","همراه اول"
"39148597552","09394735554","ایرانسل"
"80269980227","09381555007","ایرانسل"
"63876156473","09120755434","همراه اول"
"87502567341","09969437858","همراه اول"
